2018-04-15 20:06:41,688 [DEBUG|FireBrigade/1794647129|TestBuildingDetector] Time:1
2018-04-15 20:06:41,689 [DEBUG|FireBrigade/1794647129|TestSearchForFire] Time:1
2018-04-15 20:06:41,689 [DEBUG|FireBrigade/1794647129|TestBuildingDetector] FieryBuildingsTargets: []
2018-04-15 20:06:41,690 [DEBUG|FireBrigade/1794647129|TestSearchForFire] unsearchedBuildingIDs:[29952, 9601, 10756, 12933, 30853, 22151, 31239, 28423, 34185, 24205, 9742, 10638, 29839, 30869, 17686, 23446, 14745, 27801, 28314, 12443, 27036, 21022, 13598, 15262, 18591, 12960, 18208, 11937, 32930, 22178, 32931, 13481, 24233, 10670, 11822, 17583, 18098, 28980, 15029, 28341, 12471, 32567, 9656, 27576, 21049, 11193, 10814, 32574, 24895, 30913, 17604, 27716, 24260, 32708, 28997, 32709, 9929, 19787, 15182, 17875, 13652, 24151, 29785, 10842, 16091, 11996, 23390, 24287, 12901, 10728, 15208, 18409, 20073, 26475, 28395, 12139, 9964, 21358, 27630, 15982, 14831, 11248, 12023, 23418, 29052, 18044, 13181, 15101, 14718, 28287]
2018-04-15 20:06:41,690 [DEBUG|FireBrigade/1794647129|TestSearchForFire] best path is:[35352, 2097, 34609, 2090, 4929, 9312, 5649, 4785, 21049]
2018-04-15 20:06:41,690 [DEBUG|FireBrigade/1794647129|TestSearchForFire] choosed:5649
2018-04-15 20:06:50,612 [DEBUG|FireBrigade/1794647129|TestBuildingDetector] Time:2
2018-04-15 20:06:50,612 [DEBUG|FireBrigade/1794647129|TestSearchForFire] Time:2
2018-04-15 20:06:50,613 [DEBUG|FireBrigade/1794647129|TestBuildingDetector] FieryBuildingsTargets: []
2018-04-15 20:06:50,613 [DEBUG|FireBrigade/1794647129|TestSearchForFire] unsearchedBuildingIDs:[29952, 9601, 10756, 12933, 30853, 22151, 31239, 28423, 34185, 24205, 9742, 10638, 29839, 30869, 17686, 23446, 14745, 27801, 28314, 12443, 27036, 21022, 13598, 15262, 18591, 12960, 18208, 11937, 32930, 22178, 32931, 13481, 24233, 10670, 11822, 17583, 18098, 28980, 15029, 28341, 12471, 32567, 9656, 27576, 21049, 11193, 10814, 32574, 24895, 30913, 17604, 27716, 24260, 32708, 28997, 32709, 9929, 19787, 15182, 17875, 13652, 24151, 29785, 10842, 16091, 11996, 23390, 24287, 12901, 10728, 15208, 18409, 20073, 26475, 28395, 12139, 9964, 21358, 27630, 15982, 14831, 11248, 12023, 23418, 29052, 18044, 13181, 15101, 14718, 28287]
2018-04-15 20:06:50,613 [DEBUG|FireBrigade/1794647129|TestSearchForFire] best path is:[35352, 2097, 34609, 2090, 4929, 9312, 5649, 4785, 21049]
